PELÍCULA,DIRECTOR,CICLO/ESTRENO,PAIS,ASISTENCIA,FUNCIONES,GENERO,PERIODO,MES,EXHIBIDA
EL CORAZÓN,Fanni Metelius,ESTRENO,Suecia,689,6,Adultos,2019,diciembre,Sala
EL ÁNGEL EXTERMINADOR,Luis Buñuel,RETROSPECTIVA LUIS BUÑUEL,México,510,3,Adultos,2019,diciembre,Sala
SIMÓN EN EL DESIERTO,Luis Buñuel,RETROSPECTIVA LUIS BUÑUEL,México,119,3,Adultos,2019,diciembre,Sala
TESTIMONIOS ZAPATISTAS,"Adolfo García Videla, México",EMILIANO: ZAPATA DESPUÉS DE ZAPATA,México,50,1,Adultos,2019,diciembre,Sala
MOSCAS DE INVIERNO,Olmo Omerzu,FESTIVAL DE CINE EUROPEO,República Checa ,5,1,Adultos,2019,diciembre,Sala
"YO, LEONARDO",Jesús Garcés Lambert,RP,Italia,174,1,Adultos,2019,diciembre,Sala
FIRMA DE CARTA,,RP,México,174,1,Adultos,2019,diciembre,Sala
CONFERENCIA BUÑUEL. EL LENGUAJE ONÍRICO,,CONFERENCIA BUÑUEL,México,190,1,Adultos,2019,diciembre,Sala
EL SILENCIO DE OTROS,Almudena Carracedo y Robert Bahar,CC,", España, Francia, Canadá, Estados Unidos",100,3,Adultos,2019,diciembre,Sala
JOAQUÍN,Marcelo Gomes,CC," Brasil, Portugal",53,1,Adultos,2019,diciembre,Sala
OBLATOS EL VUELO QUE SURCO LA NOCHE,Acelo Ruíz,CINECLUB 43,México,138,1,Adultos,2019,diciembre,FORO
"IO INNER SELF|
ÄNI| TE RECUERDO AMANDA| MARAÑA| GRANDMA'S PIE| UNA HISTORIA SOBRE MOVIMIENTO| BIBI CIUDAD HERIDA ",Varios,NOCHES DE SHORTS,"México, Estados Unidos",7,1,Adultos,2019,diciembre,FORO
ESTO NO ES BERLÍN,Hari Sama,CC,México,9706,44,Adultos,2020,Enero,Sala
PARÁSITOS,Bong Joon-Ho,CC,Corea del Sur,20826,55,Adultos,2020,Enero,Sala
DINO KING,Han Sang-Ho,Matinee Día de reyes / Matinee Infantil,"Corea del Sur, China",705,7,Niños,2020,Enero,Sala
ASTÉRIX: EL SECRETO DE LA POCIÓN MÁGICA,"Alexandre Astier, Louis Clichy",Matinee / Día de reyes,Francia,125,2,Niños,2020,Enero,Sala
ESPÍRITUS DEL MAR,Ayumu Watanabe,Matinee / Día de reyes,Japón,200,2,Niños,2020,Enero,Sala
UN DÍA LLUVIOSO EN NUEVA YORK,Woody Allen,CC,Estados Unidos,6990,29,Adultos,2020,Enero,Sala
EL FARO,Robert Eggers,ESTRENO,Estados Unidos,16052,53,Adultos,2020,Enero,Sala
EL PADRINO III,Francis Ford Coppola,CLÁSICOS EN PANTALLA GRANDE,Estados Unidos,148,1,Adultos,2020,Enero,Sala
HISTORIA DE UN MATRIMONIO,Noah Baumach,CC,Estados Unidos,1165,15,Adultos,2020,Enero,Sala
EL IRLÁNDES,Martin Scorsese,CC,Estados Unidos,2744,19,Adultos,2020,Enero,Sala
LA DULCE VIDA,Federico Fellini,ESTRENO,Italia-Francia,2775,27,Adultos,2020,Enero,Sala
LOS DOS PAPAS,Fernando Meirelles,CC,"Reino Unido, Italia, Argentina, Estados Unidos",997,23,Adultos,2020,Enero,Sala
LUCIÉRNAGAS,Bani Khoshnoudi,CC,"México, Estados Unidos, Grecia, República Dominicana",1732,28,Adultos,2020,Enero,Sala
¿TE HAS PREGUNTADO QUIÉN DISPARO?,Travis Wilkerson,CC,Estados Unidos,1864,22,Adultos,2020,Enero,Sala
LA CASA JUNTO AL MAR,Robert Guédiguian,CC,Francia,1315,33,Adultos,2020,Enero,Sala
TIEMPO SIN PULSO,Barbara Ochoa,CC,México,218,6,Adultos,2020,Enero,Sala
EL GUARDIÁN DE LA MEMORIA,Marcela Artega,CC,México,319,7,Adultos,2020,Enero,Sala
QUERÍA UN FINAL FELIZ PERO YA NO HABÍA,Sergio Sanjinés Franck,CC,México,587,26,Adultos,2020,Enero,Sala
TORRE X TORRE,"Roberto Garza, Juan Luis Obregón",CC,México,755,26,Adultos,2020,Enero,Sala
"PROGRAMA 2 |NOTICIEROS 408, 409, 413, 421, 521,522, 531, 532, 534",Santiago Álvarez,SANTIAGO ÁLVAREZ 79 PRIMAVERAS,Cuba,30,1,Adultos,2020,Enero,Sala
"PIAZOLLA, LOS AÑOS DEL TIBURÓN",Daniel Rosenfeld,CC,"Argentina, España, Francia",479,18,Adultos,2020,Enero,Sala
TORRE DE LAS DONCELLAS,Susanna Lira,CC,Brasil,915,30,Adultos,2020,Enero,Sala
EL SILENCIO ES BIENVENIDO,Gabriela García Rivas,CC,México,1666,31,Adultos,2020,Enero,Sala
DE PADRES E HIJOS,Talal Derki,ESTRENO,Alemania,2566,31,Adultos,2020,Enero,Sala
LARGO VIAJE HACIA LA NOCHE,Bi Gan,CC,"China, Francia",2649,21,Adultos,2020,Enero,Sala
EL SACRIFICIO DE NEHUÉN PUYELLI,Jose Celestino Campusano,FUNCIÓN ESPECIAL/ ESTRENO,Argentina,1376,25,Adultos,2020,Enero,Sala
POR LA GRACIA DE DIOS,Francois Ozon,CC,"Francia, Bélgica",1783,24,Adultos,2020,Enero,Sala
BARRO SUAVE,Renars Vimba,FESTIVAL DE CINE EUROPEO,Polonia,173,1,Adultos,2020,Enero,Sala
LA CONSTITUCIÓN,Rajko Grlic,FESTIVAL DE CINE EUROPEO,Croacia,100,1,Adultos,2020,Enero,Sala
UN EXTRAÑO EN EL PARAÍSO,Guido Hendrix,FESTIVAL DE CINE EUROPEO,Países Bajos,170,1,Adultos,2020,Enero,Sala
UN PASO DETRÁS DEL SERAFÍN,Daniel Sandu,FESTIVAL DE CINE EUROPEO,Rumania,92,1,Adultos,2020,Enero,Sala
HOMO SAPIENS,Nikolaus Geyrhalter,FESTIVAL DE CINE EUROPEO,"Suecia, Alemania, Austria",170,1,Adultos,2020,Enero,Sala
UN DÍA MÁS CON VIDA,"Raúl de la Fuente, Damian Nenow",FESTIVAL DE CINE EUROPEO,"Polonia, España, Bélgica, Hungría, Alemania",64,1,Adultos,2020,Enero,Sala
EL IMPERIO DE LOS SENTIDOS,Nagisa Oshima,CC,"Japón, Francia",387,4,Adultos,2020,Enero,Sala
AL RITMO DEL CORAZÓN,Icíar Bollaín,CC,"España, Cuba, Reino Unido, Alemania",605,5,Adultos,2020,Enero,Sala
PADRE,Giada Colagrande,CC,Italia,3025,51,Adultos,2020,Enero,Sala
EL CORAZÓN,Fanni Metelius,ESTRENO,Suecia,4960,43,Adultos,2020,Enero,Sala
¿QUIÉN LLAMA A MI PUERTA?,Martin Scorsese,CLÁSICOS EN PANTALLA GRANDE,Estados Unidos,514,3,Adultos,2020,Enero,Sala
FAMILIA SUMERGIDA,María Alché,CC,"Argentina, Brasil, Alemania y Noruega",1173,36,Adultos,2020,Enero,Sala
VARDA POR AGNÉS,"Agnés Varda, Didier Rouget",CC,Francia,1719,27,Adultos,2020,Enero,Sala
LOS ÚLTIMOS ZAPATSTAS HÉROES OLVIDADOS,Francesco Taboada Tabone,EMILIANO: ZAPATA DESPUÉS DE ZAPATA,México,28,1,Adultos,2020,Enero,Sala
BOXCAR BERTHA,Martin Scorsese,CLÁSICOS EN PANTALLA GRANDE,Estados Unidos,521,2,Adultos,2020,Enero,Sala
SONORA,Alejandro Springall,ESTRENO,México,1332,18,Adultos,2020,Enero,Sala
LA TERCERA ESPOSA,Ashleigh Mayfair,ESTRENO,Vietnam,1327,14,Adultos,2020,Enero,Sala
CULPA,Gojko Berkuljan,ESTRENO,Serbia,1909,26,Adultos,2020,Enero,Sala
1917,Sam Mendes,ESTRENO,"Reino Unido, Estados Unidos",7900,26,Adultos,2020,Enero,Sala
MUJERCITAS,Greta Gerwing,ESTRENO,Estados Unidos,2768,8,Adultos,2020,Enero,Sala
JUDY,Rupert Goold,ESTRENO,Reino Unido,2922,16,Adultos,2020,Enero,Sala
ALICIA YA NO VIVE AQUÍ,Martin Scorsese,CLÁSICOS EN PANTALLA GRANDE,Estados Unidos,743,3,Adultos,2020,Enero,Sala
CALLES PELIGROSAS,Martin Scorsese,CLÁSICOS EN PANTALLA GRANDE,Estados Unidos,948,3,Adultos,2020,Enero,Sala
SEMINARIO,"Tzutzumatzin Soto, Angél Aleman",SEMINARIO: EXPERIENCIAS DE ARCHIVO,,36,1,Adultos,2020,Enero,Sala
LA CUEVA,Feras Fayyad,ESTRENO,"Siria, Dinamarca, Alemania, Catar, Estados Unidos",1027,9,Adultos,2020,Enero,Sala
EL JÓVEN AHMED,"Jean-Pierre Dardenne, Luc Dardenne",CC,"Bélgica, Francia",3683,38,Adultos,2020,Enero,Sala
LA LEY,Christian Faure,17° FESTIVAL INTERNACIONAL DE CINE JUDÍO EN MÉXICO,Francia,337,4,Adultos,2020,Enero,Sala
SOMNO AUTOMATUM MÉXICO INDUSTRIAL ,"Anónimo, Compañía Industrial de Atlixco S. A.",BANDAS SONORAS,México,434,2,Adultos,2020,Enero,Sala
EL CAMINO DE LA VIDA,Alfonso Corona Blake,CONFIGURACIONES DE LA VIOLENCIA URBANA,México,102,1,Adultos,2020,Enero,Sala
LA LLOVIZNA,Sergio Olhovich,CONVERSANDO CON NUESTROS CINEASTAS,México,152,1,Adultos,2020,Enero,Sala
LA REVOLUCIÓN Y LOS ARTISTAS,Gabriel Retes,CC,México,80,2,Adultos,2020,Enero,Sala
SAN JORGE,Marco Martins,FESTIVAL DE CINE EUROPEO,"Portugal, Francia",98,1,Adultos,2020,Enero,Sala
LUISA EN INVIERNO,Jean-Francois Laguionie,FESTIVAL DE CINE EUROPEO,"Francia, Canadá",82,1,Adultos,2020,Enero,Sala
LA VIDA MÁGICA DE V,Tonislav Hiristov,FESTIVAL DE CINE EUROPEO,"Filandia, Dinamarca, Bulgaria",170,1,Adultos,2020,Enero,Sala
LA CARA,Malgorzata Szumowska,FESTIVAL DE CINE EUROPEO,Polonia,93,1,Adultos,2020,Enero,Sala
SIMÓN EN EL DESIERTO,Luis Buñuel,RETROSPECTIVA LUIS BUÑUEL,México,190,2,Adultos,2020,Enero,Sala
MAQUINARIA PANAMERICANA,Joaquín del Paso,CONVERSANDO CON NUESTROS CINEASTAS,"México, Polonia",168,1,Adultos,2020,Enero,Sala
EL PELUQUERO ROMÁNTICO,Iván Ávila Dueñas,CONVERSANDO CON NUESTROS CINEASTAS,"México, España",190,1,Adultos,2020,Enero,Sala
"PROGRAMA 3 | NOTICIEROS  728, 768, 890, 953,  973, 1000, 1050, 1136, 1198, 1296 y 1490",Santiago Álvarez,SANTIAGO ÁLVAREZ 79 PRIMAVERAS,Cuba,17,1,Adultos,2020,Enero,Sala
"LA ALDEHUELA, HISTORIA DE UN GRAN AMOR",Gerardo Lara,CONVERSANDO CON NUESTROS CINEASTAS,México,165,1,Adultos,2020,Enero,Sala
LOS QUE QUEDARON,Tóth Barnabás,17° FESTIVAL INTERNACIONAL DE CINE JUDÍO EN MÉXICO,Hungría,492,4,Adultos,2020,Enero,Sala
REFUGIADA,Eren Riklis,17° FESTIVAL INTERNACIONAL DE CINE JUDÍO EN MÉXICO,"Alemania, Israel, Francia",528,4,Adultos,2020,Enero,Sala
LOS INVISIBLES,Claus Räfke,17° FESTIVAL INTERNACIONAL DE CINE JUDÍO EN MÉXICO,Alemania,409,3,Adultos,2020,Enero,Sala
EL VIAJE DE FANNY,Lola Doilon,17° FESTIVAL INTERNACIONAL DE CINE JUDÍO EN MÉXICO,"Francia, Bélgica",388,3,Adultos,2020,Enero,Sala
PERFECTAS,"Tal Granit, Sharon Maimon",17° FESTIVAL INTERNACIONAL DE CINE JUDÍO EN MÉXICO,"Israel, Alemania",347,3,Adultos,2020,Enero,Sala
LA PASIÓN SEGÚN BERENICE,Jaime Humberto Hermosillo,FUNCIÓN ESPECIAL / HOMENAJE A JAIME HUMBERTO HERMOSILLO,México,174,1,Adultos,2020,Enero,Sala
 APARICIÓN FALLIDA,Antoine Bourges,ESTRENO,Canadá,51,2,Adultos,2020,Enero,Sala
PIÉRDETE ENTRE LOS MUERTOS ,Rubén Gutiérrez,ESTRENO,México,30,1,Adultos,2020,Enero,Sala
DIEGO MARADONA,Asif Kapadia,ESTRENO,Reino Unido,76,1,Adultos,2020,Enero,Sala
LAND. TIERRA DE NADIE,Babak Jalali,ESTRENO,"Italia, Farncia, México, Paisés Bajos Catar",216,3,Adultos,2020,Enero,Sala
NOCHES DE SHORTS LA BRUJA DEL FÓSFORO PASEANTE| EXISTIMOS EN EL SILENCIO| 32-RBIT| RETRATOS DE MI MADRE| NOSTROS| GANAR LA CALLE ,Varios,Noches de shorts,"México, Alemania, Estados Unidos",173,1,Adultos,2020,Enero,FORO
LA LEY,Chrstian Faure,,Francia,62,1,Adultos,2020,Enero,FORO
PROGRAMA DE CORTOMETRAJES “TÍO BAD VIVE” ,Varios,Cineclub 43,"México,",132,1,Adultos,2020,Enero,FORO
Parásitos,Bong Joon-Ho,CC,Corea del Sur,19783,61,Adultos,2020,Febrero,Sala
Judy,Rupert Goold,CC,Reino Unido,2952,22,Adultos,2020,Febrero,Sala
Esto no es Berlín ,Hari Sama,CC,México,1667,13,Adultos,2020,Febrero,Sala
El faro,Robbert Eggers,CC,Estados Unidos,6595,33,Adultos,2020,Febrero,Sala
Taxi driver,Martin Scorsese,Clásicos en pantalla grande,Estados Unidos,1112,3,Adultos,2020,Febrero,Sala
1917,Sam Mendes,CC,"Reino Unido, Estados Unidos",11768,49,Adultos,2020,Febrero,Sala
¿Te has preguntado quién disparó?,Travis Wilkerson,CC,Estados Unidos,592,19,Adultos,2020,Febrero,Sala
Aisheen (Todavía vivos en Gaza),Nicolas Wadimoff,Retrospectiva Nicolas Wadimoff,Suiza-Catar,80,1,Adultos,2020,Febrero,Sala
Aparición fallida ,Antoine Bourges,CC,Canadá,1041,30,Adultos,2020,Febrero,Sala
Doña flor y sus dos maridos,"Bruno Barreto, ",Charlas de cine y literatura,Brasil,162,1,Adultos,2020,Febrero,Sala
Clandestinos,Nicolas Wadimoff y Denis Chouinard,Retrospectiva Nicolas Wadimoff,Suiza-Canadá-Bélgica-Francia,106,1,Adultos,2020,Febrero,Sala
"Conferencia Buñuel, El erotismo y la obsesión",Busi Cortés e Ignacio Durán,"Conferencia Buñuel, El erotismo y la obsesión",,125,1,Adultos,2020,Febrero,Sala
Nararín,Luis Buñuel,"Conferencia Buñuel, Nazarín",México,117,1,Adultos,2020,Febrero,Sala
Tras Nazarín,Javier Espada,Extensión Académica,España-México,80,1,Adultos,2020,Febrero,Sala
Olor a muerte,Ismael Rodriguez,Configuraciones de la violencia urbana,México,190,1,Adultos,2020,Febrero,Sala
La banda de los panchitos ,Arturo Velasco,Configuraciones de la violencia urbana,México,137,1,Adultos,2020,Febrero,Sala
Te prometo Anarquía,Julio Hernandez Cordón ,Configuraciones de la violencia urbana,México / Alemania,150,1,Adultos,2020,Febrero,Sala
"Alucados, retrato de un vampiro",Ulises Guzmán,Conversando con cineastas,México,121,1,Adultos,2020,Febrero,Sala
El sembrador ,Melissa Elizando,Conversando con cineastas,México,173,1,Adultos,2020,Febrero,Sala
"Ayotzinapa, el paso de la totuga ",Enrique García Meza,Conversando con cineastas,México,120,1,Adultos,2020,Febrero,Sala
"Sin dios y sin diablo,  Jaime Sabines y sus lectores",Claudio Isaac,Conversando con cineastas,México,120,1,Adultos,2020,Febrero,Sala
Cortometrajes Bruce Elder,Bruce Elder,Retrospectiva Bruce Elder,Canada,75,1,Adultos,2020,Febrero,Sala
Naufragio I Huevos estrellados I Invisible I Pink Promise,varios ,Cortometrajes Prevención del embarazo,México,174,2,Adultos,2020,Febrero,Sala
"Crack, Brutal Grief",R. Bruce Elde,Retrospectiva Bruce Elder,Canadá,80,1,Adultos,2020,Febrero,Sala
Culpa (Iskra),Gojko Berkuljan,CC,Montenegro-Serbia,1253,20,Adultos,2020,Febrero,Sala
"De noche vienes, Esmeralda ",Jaime Humberto Hermosillo,Homenaje a Jaime Humberto Hermosillo,México,137,1,Adultos,2020,Febrero,Sala
De padres e hijos,Talal Derki,CC,Alemania-Siria-Líbano,916,17,Adultos,2020,Febrero,Sala
Diego Maradona,Asif Kapadia,CC,Reino Unido,1243,22,Adultos,2020,Febrero,Sala
Dino King,Han Sang-Ho,Matinée Infantil,Corea del Sur-China,687,9,Niños,2020,Febrero,Sala
Doña Herlinda y su hijo,Jaime Humberto Hermosillo,Homenaje a Jaime Humberto Hermosillo,México,99,1,Adultos,2020,Febrero,Sala
El acusado y el espía,Roman Polanski,Estrenos,Francia-Italia,696,3,Adultos,2020,Febrero,Sala
El agente inmobiliario parte 1,Etgar Keret,Funciones especiales,"Francia, Belgica",174,1,Adultos,2020,Febrero,Sala
El agente inmobiliario parte 2,Etgar Keret,Funciones especiales,"Francia, Belgica",159,1,Adultos,2020,Febrero,Sala
El Apolo de Gaza,Nicolas Wadimoff,Restrospectiva Nicolas Wadimoff,Suiza-Canadá,48,1,Adultos,2020,Febrero,Sala
El corazón,Fanni Metelius,CC,Suecia,1203,15,Adultos,2020,Febrero,Sala
El día que perdí mi sombra,Soudade Kaadan,Estrenos,Siria-Líbano-Francia-Catar,1468,29,Adultos,2020,Febrero,Sala
El infierno,Luis Estrada,CC,México,174,1,Adultos,2020,Febrero,Sala
El Joven Ahmed,Jean-Pierre y Luc Dardenne,CC,Bélgica-Francia,1853,28,Adultos,2020,Febrero,Sala
El rey de la comedia,Martin Scorsese,Clásicos en pantalla grande,Estados Unidos,375,1,Adultos,2020,Febrero,Sala
El río sin reposo,Marie-Hélène Cousineau,Quebecine MX 2020,Canadá,271,2,Adultos,2020,Febrero,Sala
"El sacrificio de Nehuén Puyelli
",José Celestino Campusano,CC,Argentina,1054,19,Adultos,2020,Febrero,Sala
El silencio es bienvenido,Gabriela García Rivas,CC,México,249,8,Adultos,2020,Febrero,Sala
El último rock,Martin Scorsese,Clásicos en pantalla grande,Estados Unidos,412,2,Adultos,2020,Febrero,Sala
Eros and Wonder,R. Bruce Elder,Retrospectiva Bruce Elder,Canadá,82,1,Adultos,2020,Febrero,Sala
Et Resurrectus Est,R. Bruce Elder y Alexa Frances Shaw,Retrospectiva Bruce Elder,Canadá,67,2,Adultos,2020,Febrero,Sala
Familia sumergida ,María Alché,CC,Argentina-Brasil-Alemania-Noruega,130,4,Adultos,2020,Febrero,Sala
Honeyland,Tamara Kotevska y Ljubomir Stefanov,Estrenos,Macedonia del Norte,1070,8,Adultos,2020,Febrero,Sala
Illuminated Texts,R. Bruce Elder,Retrospectiva Bruce Elder,Canadá,69,1,Adultos,2020,Febrero,Sala
L.A. Tea Time,Sophie Bédard Marcotte,Quebecine MX 2020,Canadá,161,2,Adultos,2020,Febrero,Sala
La balsa (Dir. Marcus Lindeen),Marcus Lindeen,Estrenos,"Suecia, Dinamarca, Alemania, Estados Unidos",915,9,Adultos,2020,Febrero,Sala
La caída del imperio americano,Denys Arcand,Quebecine MX 2020,Canadá,301,2,Adultos,2020,Febrero,Sala
La cueva,Feras Fayyad,CC,Siria-Dinamarca-Alemania-Catar-Estados Unidos,2799,37,Adultos,2020,Febrero,Sala
La dulce vida,Federico Fellini,CC,Italia-Francia,997,18,Adultos,2020,Febrero,Sala
La flor (parte 1),Mariano Llinás,Funciones especiales,Argentina,28,1,Adultos,2020,Febrero,Sala
La flor (parte 2),Mariano Llinás,Funciones especiales,Argentina,16,1,Adultos,2020,Febrero,Sala
La flor (parte 3),Mariano Llinás,Funciones especiales,Argentina,26,1,Adultos,2020,Febrero,Sala
La montaña,Rick Alverson,Estrenos,Estados Unidos,1626,21,Adultos,2020,Febrero,Sala
La pasión según Berenice,Jaime Humberto Hermosillo,Homenaje a Jaime Humberto Hermosillo,México,71,1,Adultos,2020,Febrero,Sala
La tarea,Jaime Humberto Hermosillo,Homenaje a Jaime Humberto Hermosillo,México,111,1,Adultos,2020,Febrero,Sala
La tercera esposa,Ashleigh Mayfair,CC,Vietnam,3478,35,Adultos,2020,Febrero,Sala
Land. Tierra de nadie,Babak Jalali,CC,Italia-Francia-México-Países Bajos-Catar,2075,32,Adultos,2020,Febrero,Sala
Las Olas,Trey Edward Shults,Estrenos,Estados Unidos,1834,15,Adultos,2020,Febrero,Sala
Las rutas en febrero,Katherine Jerkovic,Quebecine MX 2020,Canadá-Uruguay,55,1,Adultos,2020,Febrero,Sala
Los días de gran oscuridad,Maxime Giroux,Quebecine MX 2020,Canadá,141,2,Adultos,2020,Febrero,Sala
Los Miserables,Ladj Ly,Estrenos,Francia,5240,32,Adultos,2020,Febrero,Sala
Love me not ,Lluís Miñarro,Estrenos,España-México,759,8,Adultos,2020,Febrero,Sala
"Mantarraya, los espíritus ausentes",Phuttiphong Aroonpheng,Estrenos,Tailandia-Francia-China,615,9,Adultos,2020,Febrero,Sala
María de mi corazón,Jaime Humberto Hermosillo,Homenaje a Jaime Humberto Hermosillo,México,73,1,Adultos,2020,Febrero,Sala
Matineé,Jaime Humberto Hermosillo,Homenaje a Jaime Humberto Hermosillo,México,48,1,Adultos,2020,Febrero,Sala
Me llamo Gennet,Miguel Ángel Tobías,Funciones especiales,México,174,1,Adultos,2020,Febrero,Sala
"Monrovia, Indiana",Frederick Wiseman,Estrenos,Estados Unidos,55,2,Adultos,2020,Febrero,Sala
Mujercitas,"Greta Gerwig, basada en la novela homónima de Louisa May Alcott",CC,Estados Unidos,9412,36,Adultos,2020,Febrero,Sala
Naufragio,Jaime Humberto Hermosillo,Homenaje a Jaime Humberto Hermosillo,México,93,1,Adultos,2020,Febrero,Sala
"New York, New York",Martin Scorsese,Clásicos en pantalla grande,Estados Unidos,576,2,Adultos,2020,Febrero,Sala
Padre,Giada Colagrande,CC,Italia,690,14,Adultos,2020,Febrero,Sala
Piérdete entre los muertos ,Rubén Gutiérrez.,CC,México,755,21,Adultos,2020,Febrero,Sala
Poliamor,Tamer Jandali,Estrenos,Alemania,1962,14,Adultos,2020,Febrero,Sala
Por la gracia de Dios,François Ozon,CC,Francia-Bélgica,223,4,Adultos,2020,Febrero,Sala
Primas,Laura Bari,Quebecine MX 2020,Canadá-Argentina,181,2,Adultos,2020,Febrero,Sala
"Programa 1: Renau, Cineasta
",Josep Renau y Manuel Barbachano,Funciones especiales,México / Alemania,64,1,Adultos,2020,Febrero,Sala
"Programa 2: Renau, Cineasta
","Josep Renau
",Funciones especiales,Alemania,50,1,Adultos,2020,Febrero,Sala
"Programa 3: Renau, Cineasta
",Eva Vizcarra y Rafael Casañ,Funciones especiales,Alemania,38,1,Adultos,2020,Febrero,Sala
Pueblo de Tlacoquemecatl,Rogelio Silva Pallén ,Funciones especiales,México,174,1,Adultos,2020,Febrero,Sala
"Quería un final feliz, pero ya no había",Sergio Sanjinés Franck,CC,México,43,4,Adultos,2020,Febrero,Sala
Reina de corazones ,May el-Toukhy,Estrenos,Dinamarca-Suecia,3763,26,Adultos,2020,Febrero,Sala
"Rencor tatuado 
",Julián Hernández,Estrenos,México,1649,15,Adultos,2020,Febrero,Sala
Seminario de Experiencias de Archivo,,Seminario de Experiencias de Archivo,,55,1,Adultos,2020,Febrero,Sala
Siglo XX,Matthew Rankin,Quebecine MX 2020,Canadá,69,2,Adultos,2020,Febrero,Sala
Sonora,Alejandro Springall,CC,México,149,5,Adultos,2020,Febrero,Sala
Toro salvaje,Martin Scorsese,Clásicos en pantalla grande,Estados Unidos,"1,021",3,Adultos,2020,Febrero,Sala
Un día en la vida de Noah Piugattuk,Zacharias Kunuk,Quebecine MX 2020,Canadá,199,2,Adultos,2020,Febrero,Sala
Una colonia ,Geneviève Dulude-De Celles,Quebecine MX 2020,Canadá,334,2,Adultos,2020,Febrero,Sala
Una constelación distante,Shevaun Mizrahi,Estrenos,Turquía-Estados Unidos,722,23,Adultos,2020,Febrero,Sala
Varda por Agnés,Agnès Varda,CC,Francia,158,5,Adultos,2020,Febrero,Sala
Villa Nueva,Félix Dufour-Laperrière,Quebecine MX 2020,Canadá,40,1,Adultos,2020,Febrero,Sala
Ya me voy,Lindsey Cordero y Armando Croda,Estrenos,México-Estados Unidos,282,2,Adultos,2020,Febrero,Sala
Festival Internacional del cine de Girona,Varios (7cortos),Girona ,México,174,1,Adultos,2020,Febrero,Sala
Noches de shorts|Luz de día|Dejarse crecer el cuerpo|¿Cómo vuelan las flores?|Objetos de deshecho|Nopaltepec|Flamboyanes|Background,Varios,Noches de shorts,"México, España",126,1,Adultos,2020,Febrero,Foro
Desde los techos de la Habana,Pedro Ruiz,Quebecine MX 2020,Cánada,161,1,Adultos,2020,Febrero,Foro
"Abriendo senderos de justicia, sentencia y comisión de ayotzinapa",Margarita Zires Roldán,Procine,México,137,1,Adultos,2020,Febrero,Foro
"Agua turbia, los negocios de agbar en México I Derecho al agua",David Andreu Solá Marina Freixa,Cineclub 43,México,92,1,Adultos,2020,Febrero,Foro
Desde los techos de la Habana,Pedro Ruiz,Quebecine MX 2020,Cánada,135,1,Adultos,2020,Febrero,Foro
Parásitos,Bong Joon-Ho,CC,Corea del Sur,6662,45,Adultos,2020,Marzo,Sala
El faro,Robbert Eggers,CC,Estados Unidos,427,3,Adultos,2020,Marzo,Sala
1917,Sam Mendes,CC,"Reino Unido, Estados Unidos",1631,12,Adultos,2020,Marzo,Sala
Aparición fallida ,Antoine Bourges,CC,Canadá,352,11,Adultos,2020,Marzo,Sala
Diego Maradona,Asif Kapadia,CC,Reino Unido,222,8,Adultos,2020,Marzo,Sala
El Joven Ahmed,Jean-Pierre y Luc Dardenne,CC,Bélgica-Francia,49,2,Adultos,2020,Marzo,Sala
"El sacrificio de Nehuén Puyelli
",José Celestino Campusano,CC,Argentina,51,2,Adultos,2020,Marzo,Sala
La cueva,Feras Fayyad,CC,Siria-Dinamarca-Alemania-Catar-Estados Unidos,423,13,Adultos,2020,Marzo,Sala
La tercera esposa,Ashleigh Mayfair,CC,Vietnam,765,11,Adultos,2020,Marzo,Sala
Land. Tierra de nadie,Babak Jalali,CC,Italia-Francia-México-Países Bajos-Catar,170,8,Adultos,2020,Marzo,Sala
Mujercitas,"Greta Gerwig, basada en la novela homónima de Louisa May Alcott",CC,Estados Unidos,3271,26,Adultos,2020,Marzo,Sala
Piérdete entre los muertos ,Rubén Gutiérrez.,CC,México,329,19,Adultos,2020,Marzo,Sala
El acusado y el espía,Roman Polanski,CC,Francia-Italia,4600,46,Adultos,2020,Marzo,Sala
El día que perdí mi sombra,Soudade Kaadan,CC,Siria-Líbano-Francia-Catar,387,14,Adultos,2020,Marzo,Sala
Honeyland,Tamara Kotevska y Ljubomir Stefanov,CC,Macedonia del Norte,1347,22,Adultos,2020,Marzo,Sala
La balsa (Dir. Marcus Lindeen),Marcus Lindeen,CC,"Suecia, Dinamarca, Alemania, Estados Unidos",1044,22,Adultos,2020,Marzo,Sala
La montaña,Rick Alverson,CC,Estados Unidos,937,28,Adultos,2020,Marzo,Sala
Las Olas,Trey Edward Shults,CC,Estados Unidos,1846,20,Adultos,2020,Marzo,Sala
Los Miserables,Ladj Ly,CC,Francia,1773,28,Adultos,2020,Marzo,Sala
La dulce vida,Federico Fellini,CC,Italia-Francia,116,2,Adultos,2020,Marzo,Sala
Love me not ,Lluís Miñarro,CC,España-México,890,19,Adultos,2020,Marzo,Sala
"Mantarraya, los espíritus ausentes",Phuttiphong Aroonpheng,CC,Tailandia-Francia-China,514,25,Adultos,2020,Marzo,Sala
"Monrovia, Indiana",Frederick Wiseman,CC,Estados Unidos,236,24,Adultos,2020,Marzo,Sala
Poliamor,Tamer Jandali,CC,Alemania,1970,29,Adultos,2020,Marzo,Sala
Reina de corazones ,May el-Toukhy,CC,Dinamarca-Suecia,1594,24,Adultos,2020,Marzo,Sala
